Run,Episode,Total Steps,Episode Reward
1,531,143645,500.0
1,532,144145,500.0
1,533,144645,500.0
1,534,145145,500.0
1,535,145645,500.0
1,536,146145,500.0
1,537,146645,500.0
1,538,147145,500.0
1,539,147645,500.0
1,540,148145,500.0
1,541,148645,500.0
1,542,149145,500.0
1,543,149645,500.0
1,544,150145,500.0
1,545,150645,500.0
1,546,151145,500.0
1,547,151645,500.0
1,548,152145,500.0
1,549,152645,500.0
1,550,153145,500.0
1,551,153645,500.0
1,552,154145,500.0
1,553,154645,500.0
1,554,155145,500.0
1,555,155645,500.0
1,556,156145,500.0
1,557,156645,500.0
1,558,157145,500.0
1,559,157645,500.0
1,560,158145,500.0
1,561,158645,500.0
1,562,159145,500.0
1,563,159645,500.0
1,564,160145,500.0
1,565,160645,500.0
1,566,161145,500.0
1,567,161645,500.0
1,568,162145,500.0
1,569,162645,500.0
1,570,163145,500.0
1,571,163645,500.0
1,572,164145,500.0
1,573,164645,500.0
1,574,165145,500.0
1,575,165645,500.0
1,576,166145,500.0
1,577,166645,500.0
1,578,167145,500.0
1,579,167645,500.0
1,580,168145,500.0
1,581,168645,500.0
1,582,168935,290.0
1,583,169435,500.0
1,584,169935,500.0
1,585,170435,500.0
1,586,170935,500.0
1,587,171435,500.0
1,588,171935,500.0
1,589,172435,500.0
1,590,172935,500.0
1,591,173435,500.0
1,592,173935,500.0
1,593,174435,500.0
1,594,174935,500.0
1,595,175435,500.0
1,596,175935,500.0
1,597,176435,500.0
1,598,176935,500.0
1,599,177435,500.0
1,600,177935,500.0
1,601,178435,500.0
1,602,178935,500.0
1,603,179435,500.0
1,604,179935,500.0
1,605,180435,500.0
1,606,180935,500.0
1,607,181435,500.0
1,608,181935,500.0
1,609,182435,500.0
1,610,182935,500.0
1,611,183435,500.0
1,612,183935,500.0
1,613,184435,500.0
1,614,184935,500.0
1,615,185435,500.0
1,616,185935,500.0
1,617,186435,500.0
1,618,186935,500.0
1,619,187435,500.0
1,620,187935,500.0
1,621,188435,500.0
1,622,188935,500.0
1,623,189435,500.0
1,624,189935,500.0
1,625,190435,500.0
1,626,190935,500.0
1,627,191435,500.0
1,628,191935,500.0
1,629,192435,500.0
1,630,192935,500.0
1,631,193435,500.0
1,632,193935,500.0
1,633,194435,500.0
1,634,194935,500.0
1,635,195435,500.0
1,636,195935,500.0
1,637,196435,500.0
1,638,196935,500.0
