Run ID,Total Steps,Episode Reward
1,3281,70.0
1,3306,25.0
1,3335,29.0
1,3351,16.0
1,3425,74.0
1,3484,59.0
1,3513,29.0
1,3537,24.0
1,3558,21.0
1,3594,36.0
1,3642,48.0
1,3685,43.0
1,3699,14.0
1,3726,27.0
1,3786,60.0
1,3842,56.0
1,3861,19.0
1,3932,71.0
1,3955,23.0
1,3982,27.0
1,4013,31.0
1,4030,17.0
1,4071,41.0
1,4090,19.0
1,4115,25.0
1,4142,27.0
1,4156,14.0
1,4177,21.0
1,4220,43.0
1,4260,40.0
1,4291,31.0
1,4371,80.0
1,4389,18.0
1,4441,52.0
1,4468,27.0
1,4495,27.0
1,4529,34.0
1,4554,25.0
1,4624,70.0
1,4645,21.0
1,4660,15.0
1,4685,25.0
1,4702,17.0
1,4715,13.0
1,4754,39.0
1,4767,13.0
1,4841,74.0
1,4913,72.0
1,4944,31.0
1,5033,89.0
1,5073,40.0
1,5090,17.0
1,5147,57.0
1,5173,26.0
1,5200,27.0
1,5233,33.0
1,5250,17.0
1,5303,53.0
1,5317,14.0
1,5348,31.0
1,5365,17.0
1,5428,63.0
1,5507,79.0
1,5525,18.0
1,5550,25.0
1,5619,69.0
1,5640,21.0
1,5678,38.0
1,5692,14.0
1,5735,43.0
1,5752,17.0
1,5807,55.0
1,5827,20.0
1,5851,24.0
1,5885,34.0
1,5911,26.0
1,5932,21.0
1,5968,36.0
1,5979,11.0
1,6022,43.0
1,6057,35.0
1,6119,62.0
1,6134,15.0
1,6172,38.0
1,6256,84.0
1,6309,53.0
1,6379,70.0
1,6404,25.0
1,6462,58.0
1,6481,19.0
1,6495,14.0
1,6550,55.0
1,6578,28.0
1,6713,135.0
1,6736,23.0
1,6766,30.0
1,6792,26.0
1,6804,12.0
1,6829,25.0
1,6853,24.0
1,6892,39.0
1,6917,25.0
1,6944,27.0
1,6956,12.0
1,6971,15.0
1,6982,11.0
1,7033,51.0
1,7045,12.0
1,7127,82.0
1,7178,51.0
1,7191,13.0
1,7211,20.0
1,7226,15.0
1,7238,12.0
1,7266,28.0
1,7280,14.0
1,7314,34.0
1,7371,57.0
1,7488,117.0
1,7522,34.0
1,7570,48.0
1,7596,26.0
1,7683,87.0
1,7720,37.0
1,7747,27.0
1,7781,34.0
1,7799,18.0
1,7886,87.0
1,7906,20.0
1,7971,65.0
1,7996,25.0
1,8009,13.0
1,8022,13.0
1,8073,51.0
1,8138,65.0
1,8155,17.0
1,8214,59.0
1,8287,73.0
1,8319,32.0
1,8350,31.0
1,8373,23.0
1,8386,13.0
1,8409,23.0
1,8483,74.0
1,8561,78.0
1,8577,16.0
1,8602,25.0
1,8634,32.0
1,8663,29.0
1,8686,23.0
1,8739,53.0
1,8788,49.0
1,8835,47.0
1,8879,44.0
1,8974,95.0
1,9037,63.0
1,9074,37.0
1,9142,68.0
1,9155,13.0
1,9208,53.0
1,9254,46.0
1,9306,52.0
1,9326,20.0
1,9360,34.0
1,9374,14.0
1,9548,174.0
1,9609,61.0
1,9629,20.0
1,9664,35.0
1,9719,55.0
1,9883,164.0
1,9898,15.0
1,9929,31.0
1,9997,68.0
1,10009,12.0
1,10028,19.0
1,10058,30.0
1,10075,17.0
1,10105,30.0
1,10118,13.0
1,10157,39.0
1,10192,35.0
1,10217,25.0
1,10228,11.0
1,10309,81.0
1,10340,31.0
1,10366,26.0
1,10486,120.0
1,10520,34.0
1,10624,104.0
1,10649,25.0
1,10710,61.0
1,10833,123.0
1,10875,42.0
1,10888,13.0
1,10949,61.0
1,10997,48.0
1,11026,29.0
1,11057,31.0
1,11105,48.0
1,11134,29.0
1,11156,22.0
1,11195,39.0
1,11313,118.0
1,11348,35.0
1,11428,80.0
1,11472,44.0
1,11491,19.0
1,11509,18.0
1,11523,14.0
1,11645,122.0
1,11679,34.0
1,11694,15.0
1,11767,73.0
1,11813,46.0
1,11841,28.0
1,11888,47.0
1,11943,55.0
1,11956,13.0
1,11971,15.0
1,11987,16.0
1,12025,38.0
1,12125,100.0
1,12175,50.0
1,12301,126.0
1,12439,138.0
1,12502,63.0
1,12602,100.0
1,12640,38.0
1,12663,23.0
1,12753,90.0
1,12786,33.0
1,12924,138.0
1,12936,12.0
1,12958,22.0
1,12992,34.0
1,13010,18.0
1,13112,102.0
1,13252,140.0
1,13278,26.0
1,13301,23.0
1,13356,55.0
1,13442,86.0
1,13532,90.0
1,13554,22.0
1,13596,42.0
1,13633,37.0
1,13746,113.0
1,13801,55.0
1,13834,33.0
1,13857,23.0
1,13994,137.0
1,14122,128.0
1,14269,147.0
1,14336,67.0
1,14498,162.0
1,14611,113.0
1,14646,35.0
1,14679,33.0
1,14731,52.0
1,14753,22.0
1,14866,113.0
1,14899,33.0
1,14935,36.0
1,15027,92.0
1,15065,38.0
1,15092,27.0
1,15128,36.0
1,15246,118.0
1,15343,97.0
1,15389,46.0
1,15419,30.0
1,15467,48.0
