Run ID,Total Steps,Episode Reward
1,19678,65.0
1,19753,75.0
1,19806,53.0
1,19843,37.0
1,20012,169.0
1,20173,161.0
1,20211,38.0
1,20260,49.0
1,20286,26.0
1,20471,185.0
1,20615,144.0
1,20772,157.0
1,20913,141.0
1,20979,66.0
1,21043,64.0
1,21088,45.0
1,21115,27.0
1,21142,27.0
1,21155,13.0
1,21175,20.0
1,21242,67.0
1,21259,17.0
1,21390,131.0
1,21455,65.0
1,21486,31.0
1,21617,131.0
1,21709,92.0
1,21787,78.0
1,21854,67.0
1,21949,95.0
1,22045,96.0
1,22066,21.0
1,22131,65.0
1,22220,89.0
1,22237,17.0
1,22316,79.0
1,22379,63.0
1,22489,110.0
1,22526,37.0
1,22660,134.0
1,22724,64.0
1,22778,54.0
1,22805,27.0
1,22816,11.0
1,22939,123.0
1,22966,27.0
1,22988,22.0
1,23017,29.0
1,23049,32.0
1,23121,72.0
1,23151,30.0
1,23169,18.0
1,23236,67.0
1,23387,151.0
1,23432,45.0
1,23566,134.0
1,23711,145.0
1,23878,167.0
1,24042,164.0
1,24059,17.0
1,24110,51.0
1,24163,53.0
1,24257,94.0
1,24399,142.0
1,24495,96.0
1,24762,267.0
1,24896,134.0
1,24922,26.0
1,24937,15.0
1,25119,182.0
1,25210,91.0
1,25265,55.0
1,25360,95.0
1,25435,75.0
1,25526,91.0
1,25566,40.0
1,25670,104.0
1,25908,238.0
1,26027,119.0
1,26046,19.0
1,26086,40.0
1,26150,64.0
1,26184,34.0
1,26375,191.0
1,26390,15.0
1,26415,25.0
1,26634,219.0
1,26670,36.0
1,26711,41.0
1,26776,65.0
1,27085,309.0
1,27124,39.0
1,27174,50.0
1,27254,80.0
1,27481,227.0
1,27725,244.0
1,27736,11.0
1,27754,18.0
1,27796,42.0
1,27839,43.0
1,27921,82.0
1,28058,137.0
1,28195,137.0
1,28208,13.0
1,28248,40.0
1,28304,56.0
1,28327,23.0
1,28518,191.0
1,28584,66.0
1,28783,199.0
1,28798,15.0
1,28893,95.0
1,29080,187.0
1,29248,168.0
1,29323,75.0
1,29395,72.0
1,29665,270.0
1,29793,128.0
1,30013,220.0
1,30102,89.0
1,30227,125.0
1,30268,41.0
1,30297,29.0
1,30347,50.0
1,30404,57.0
1,30607,203.0
1,30781,174.0
1,30793,12.0
1,30818,25.0
1,31018,200.0
1,31218,200.0
1,31346,128.0
1,31380,34.0
1,31512,132.0
1,31569,57.0
1,31602,33.0
1,31753,151.0
1,31778,25.0
1,31801,23.0
1,31952,151.0
1,32183,231.0
1,32243,60.0
1,32292,49.0
1,32313,21.0
1,32487,174.0
1,32682,195.0
1,32760,78.0
1,32935,175.0
1,33079,144.0
1,33132,53.0
1,33234,102.0
1,33254,20.0
1,33275,21.0
1,33296,21.0
1,33419,123.0
1,33522,103.0
1,33658,136.0
1,33975,317.0
1,34005,30.0
1,34052,47.0
1,34197,145.0
1,34261,64.0
1,34585,324.0
1,34732,147.0
1,34771,39.0
1,35010,239.0
1,35363,353.0
1,35454,91.0
1,35474,20.0
1,35674,200.0
1,35688,14.0
1,35703,15.0
1,35736,33.0
1,35759,23.0
1,35839,80.0
1,35902,63.0
1,35950,48.0
1,36027,77.0
1,36046,19.0
1,36091,45.0
1,36182,91.0
1,36341,159.0
1,36553,212.0
1,36777,224.0
1,36864,87.0
1,36952,88.0
1,37076,124.0
1,37286,210.0
1,37298,12.0
1,37507,209.0
1,37531,24.0
1,37679,148.0
1,37817,138.0
1,38035,218.0
1,38062,27.0
1,38287,225.0
1,38585,298.0
