Configuration,Episode,Mean Total Reward,Std Dev
DQN with Target Network,1438,106.5,93.5
DQN with Target Network,1439,106.0,94.0
DQN with Target Network,1440,105.5,94.5
DQN with Target Network,1441,107.0,93.0
DQN with Target Network,1442,108.0,92.0
DQN with Target Network,1443,107.5,92.5
DQN with Target Network,1444,152.0,48.0
DQN with Target Network,1445,200.0,0.0
DQN with Target Network,1446,179.5,20.5
DQN with Target Network,1447,105.5,94.5
DQN with Target Network,1448,107.5,92.5
DQN with Target Network,1449,105.5,94.5
DQN with Target Network,1450,107.0,93.0
DQN with Target Network,1451,105.0,95.0
DQN with Target Network,1452,104.5,95.5
DQN with Target Network,1453,104.0,96.0
DQN with Target Network,1454,106.0,94.0
DQN with Target Network,1455,104.5,95.5
DQN with Target Network,1456,106.5,93.5
DQN with Target Network,1457,107.0,93.0
DQN with Target Network,1458,105.5,94.5
DQN with Target Network,1459,104.5,95.5
DQN with Target Network,1460,104.5,95.5
DQN with Target Network,1461,104.5,95.5
DQN with Target Network,1462,104.5,95.5
DQN with Target Network,1463,105.5,94.5
DQN with Target Network,1464,107.0,93.0
DQN with Target Network,1465,104.5,95.5
DQN with Target Network,1466,105.0,95.0
DQN with Target Network,1467,105.0,95.0
DQN with Target Network,1468,105.0,95.0
DQN with Target Network,1469,104.5,95.5
DQN with Target Network,1470,107.0,93.0
DQN with Target Network,1471,105.5,94.5
DQN with Target Network,1472,91.0,81.0
DQN with Target Network,1473,104.5,95.5
DQN with Target Network,1474,104.0,96.0
DQN with Target Network,1475,105.5,94.5
DQN with Target Network,1476,105.5,94.5
DQN with Target Network,1477,106.5,93.5
DQN with Target Network,1478,105.0,95.0
DQN with Target Network,1479,104.5,95.5
DQN with Target Network,1480,105.0,95.0
DQN with Target Network,1481,88.5,79.5
DQN with Target Network,1482,13.0,3.0
DQN with Target Network,1483,81.0,72.0
DQN with Target Network,1484,49.0,38.0
DQN with Target Network,1485,33.0,25.0
DQN with Target Network,1486,14.5,4.5
DQN with Target Network,1487,13.0,2.0
DQN with Target Network,1488,12.0,0.0
DQN with Target Network,1489,12.5,1.5
DQN with Target Network,1490,12.0,0.0
DQN with Target Network,1491,11.5,0.5
DQN with Target Network,1492,9.5,0.5
DQN with Target Network,1493,8.5,0.5
DQN with Target Network,1494,9.0,0.0
DQN with Target Network,1495,10.5,0.5
DQN with Target Network,1496,11.0,1.0
DQN with Target Network,1497,11.0,2.0
DQN with Target Network,1498,10.5,1.5
DQN with Target Network,1499,10.5,0.5
DQN with Target Network,1500,11.0,1.0
DQN with Target Network,1501,12.5,2.5
DQN with Target Network,1502,9.5,0.5
DQN with Target Network,1503,12.0,2.0
DQN with Target Network,1504,77.5,67.5
DQN with Target Network,1505,105.0,95.0
DQN with Target Network,1506,105.5,94.5
DQN with Target Network,1507,104.5,95.5
DQN with Target Network,1508,104.0,96.0
DQN with Target Network,1509,84.0,76.0
DQN with Target Network,1510,73.0,64.0
DQN with Target Network,1511,68.5,60.5
DQN with Target Network,1512,77.5,64.5
DQN with Target Network,1513,92.0,81.0
DQN with Target Network,1514,107.0,93.0
DQN with Target Network,1515,97.5,88.5
DQN with Target Network,1516,94.5,79.5
DQN with Target Network,1517,105.5,94.5
DQN with Target Network,1518,95.5,84.5
DQN with Target Network,1519,73.0,64.0
DQN with Target Network,1520,75.5,63.5
DQN with Target Network,1521,72.5,62.5
DQN with Target Network,1522,66.5,53.5
DQN with Target Network,1523,59.0,50.0
DQN with Target Network,1524,42.0,23.0
DQN with Target Network,1525,80.0,67.0
DQN with Target Network,1526,94.0,82.0
DQN with Target Network,1527,51.0,41.0
DQN with Target Network,1528,106.0,94.0
DQN with Target Network,1529,108.0,92.0
DQN with Target Network,1530,111.5,88.5
DQN with Target Network,1531,107.5,92.5
DQN with Target Network,1532,108.0,92.0
DQN with Target Network,1533,111.5,88.5
DQN with Target Network,1534,152.5,47.5
DQN with Target Network,1535,138.0,41.0
DQN with Target Network,1536,104.5,95.5
DQN with Target Network,1537,103.5,89.5
DQN with Target Network,1538,92.5,82.5
DQN with Target Network,1539,105.0,95.0
DQN with Target Network,1540,104.5,95.5
DQN with Target Network,1541,104.5,95.5
DQN with Target Network,1542,104.5,92.5
DQN with Target Network,1543,104.5,95.5
DQN with Target Network,1544,96.0,85.0
DQN with Target Network,1545,92.5,80.5
DQN with Target Network,1546,82.5,73.5
DQN with Target Network,1547,104.5,95.5
DQN with Target Network,1548,105.0,95.0
DQN with Target Network,1549,97.0,87.0
DQN with Target Network,1550,93.0,83.0
DQN with Target Network,1551,85.5,75.5
DQN with Target Network,1552,74.0,65.0
DQN with Target Network,1553,65.5,52.5
DQN with Target Network,1554,106.0,94.0
DQN with Target Network,1555,104.5,95.5
DQN with Target Network,1556,102.0,88.0
DQN with Target Network,1557,107.0,93.0
DQN with Target Network,1558,104.5,95.5
DQN with Target Network,1559,96.5,88.5
DQN with Target Network,1560,88.0,73.0
DQN with Target Network,1561,72.0,61.0
DQN with Target Network,1562,84.0,76.0
DQN with Target Network,1563,80.5,71.5
DQN with Target Network,1564,74.5,65.5
DQN with Target Network,1565,106.0,94.0
DQN with Target Network,1566,84.0,74.0
DQN with Target Network,1567,103.5,93.5
DQN with Target Network,1568,104.5,95.5
DQN with Target Network,1569,105.5,94.5
DQN with Target Network,1570,105.0,95.0
DQN with Target Network,1571,106.0,93.0
DQN with Target Network,1572,105.0,95.0
DQN with Target Network,1573,21.5,10.5
DQN with Target Network,1574,86.0,75.0
DQN with Target Network,1575,104.5,95.5
DQN with Target Network,1576,54.5,44.5
DQN with Target Network,1577,86.5,76.5
DQN with Target Network,1578,106.0,94.0
DQN with Target Network,1579,104.0,96.0
DQN with Target Network,1580,105.5,94.5
DQN with Target Network,1581,104.0,96.0
DQN with Target Network,1582,100.0,89.0
DQN with Target Network,1583,107.5,92.5
DQN with Target Network,1584,80.5,71.5
DQN with Target Network,1585,105.0,95.0
DQN with Target Network,1586,94.5,84.5
DQN with Target Network,1587,89.5,79.5
DQN with Target Network,1588,84.0,72.0
DQN with Target Network,1589,106.5,93.5
DQN with Target Network,1590,86.5,76.5
DQN with Target Network,1591,104.5,95.5
DQN with Target Network,1592,105.0,95.0
DQN with Target Network,1593,101.5,90.5
DQN with Target Network,1594,76.5,67.5
DQN with Target Network,1595,80.5,69.5
DQN with Target Network,1596,72.5,62.5
DQN with Target Network,1597,93.0,85.0
DQN with Target Network,1598,93.5,85.5
DQN with Target Network,1599,104.5,95.5
DQN with Target Network,1600,98.5,87.5
DQN with Target Network,1601,98.0,87.0
DQN with Target Network,1602,84.0,75.0
DQN with Target Network,1603,75.0,66.0
DQN with Target Network,1604,90.0,76.0
DQN with Target Network,1605,104.5,94.5
DQN with Target Network,1606,104.5,95.5
DQN with Target Network,1607,105.0,95.0
DQN with Target Network,1608,107.0,93.0
DQN with Target Network,1609,104.0,92.0
DQN with Target Network,1610,73.5,62.5
DQN with Target Network,1611,104.5,95.5
DQN with Target Network,1612,107.0,93.0
DQN with Target Network,1613,94.0,85.0
DQN with Target Network,1614,106.5,93.5
DQN with Target Network,1615,73.0,60.0
DQN with Target Network,1616,81.5,69.5
DQN with Target Network,1617,96.0,85.0
DQN with Target Network,1618,74.5,63.5
DQN with Target Network,1619,106.5,93.5
DQN with Target Network,1620,84.5,72.5
DQN with Target Network,1621,106.5,93.5
DQN with Target Network,1622,105.0,95.0
DQN with Target Network,1623,102.0,86.0
DQN with Target Network,1624,74.0,59.0
DQN with Target Network,1625,70.0,53.0
DQN with Target Network,1626,105.0,6.0
DQN with Target Network,1627,150.0,50.0
DQN with Target Network,1628,113.0,6.0
DQN with Target Network,1629,97.5,5.5
DQN with Target Network,1630,99.5,27.5
DQN with Target Network,1631,79.0,18.0
DQN with Target Network,1632,67.5,6.5
DQN with Target Network,1633,62.5,2.5
DQN with Target Network,1634,91.0,36.0
DQN with Target Network,1635,143.5,56.5
DQN with Target Network,1636,112.5,46.5
DQN with Target Network,1637,104.5,28.5
DQN with Target Network,1638,98.5,17.5
DQN with Target Network,1639,146.0,21.0
DQN with Target Network,1640,102.5,17.5
DQN with Target Network,1641,147.0,53.0
DQN with Target Network,1642,105.0,23.0
DQN with Target Network,1643,102.5,38.5
DQN with Target Network,1644,92.0,6.0
DQN with Target Network,1645,139.5,60.5
DQN with Target Network,1646,116.5,37.5
DQN with Target Network,1647,88.0,28.0
DQN with Target Network,1648,110.0,90.0
DQN with Target Network,1649,109.5,90.5
DQN with Target Network,1650,106.5,93.5
DQN with Target Network,1651,81.0,68.0
DQN with Target Network,1652,89.0,80.0
DQN with Target Network,1653,61.0,50.0
DQN with Target Network,1654,44.0,34.0
DQN with Target Network,1655,68.5,58.5
DQN with Target Network,1656,98.5,88.5
DQN with Target Network,1657,73.5,59.5
DQN with Target Network,1658,53.5,43.5
DQN with Target Network,1659,42.5,31.5
DQN with Target Network,1660,44.5,33.5
DQN with Target Network,1661,27.0,18.0
DQN with Target Network,1662,32.0,24.0
DQN with Target Network,1663,29.0,20.0
DQN with Target Network,1664,16.5,8.5
DQN with Target Network,1665,14.0,4.0
DQN with Target Network,1666,14.5,1.5
DQN with Target Network,1667,35.0,23.0
DQN with Target Network,1668,58.0,49.0
DQN with Target Network,1669,53.5,43.5
DQN with Target Network,1670,106.5,93.5
DQN with Target Network,1671,95.5,84.5
DQN with Target Network,1672,90.5,80.5
DQN with Target Network,1673,89.5,80.5
DQN with Target Network,1674,74.0,66.0
DQN with Target Network,1675,71.5,62.5
DQN with Target Network,1676,61.0,51.0
DQN with Target Network,1677,68.5,54.5
DQN with Target Network,1678,106.5,93.5
DQN with Target Network,1679,82.5,70.5
DQN with Target Network,1680,96.0,85.0
DQN with Target Network,1681,95.0,85.0
DQN with Target Network,1682,91.5,80.5
DQN with Target Network,1683,68.5,59.5
DQN with Target Network,1684,106.0,94.0
DQN with Target Network,1685,50.0,40.0
DQN with Target Network,1686,88.0,76.0
DQN with Target Network,1687,78.5,70.5
DQN with Target Network,1688,66.0,57.0
DQN with Target Network,1689,89.5,80.5
DQN with Target Network,1690,49.5,40.5
DQN with Target Network,1691,77.0,62.0
DQN with Target Network,1692,106.0,94.0
DQN with Target Network,1693,104.5,95.5
DQN with Target Network,1694,104.0,96.0
DQN with Target Network,1695,86.0,78.0
DQN with Target Network,1696,107.0,93.0
DQN with Target Network,1697,107.0,93.0
DQN with Target Network,1698,71.5,60.5
DQN with Target Network,1699,105.0,95.0
DQN with Target Network,1700,72.0,63.0
DQN with Target Network,1701,71.0,61.0
DQN with Target Network,1702,37.5,24.5
DQN with Target Network,1703,72.5,59.5
DQN with Target Network,1704,119.0,81.0
DQN with Target Network,1705,133.0,6.0
DQN with Target Network,1706,196.0,4.0
DQN with Target Network,1707,180.0,20.0
DQN with Target Network,1708,157.5,21.5
DQN with Target Network,1709,166.0,34.0
DQN with Target Network,1710,165.0,25.0
DQN with Target Network,1711,151.5,3.5
DQN with Target Network,1712,140.5,27.5
DQN with Target Network,1713,111.0,30.0
DQN with Target Network,1714,78.0,48.0
DQN with Target Network,1715,123.0,1.0
DQN with Target Network,1716,144.0,12.0
DQN with Target Network,1717,126.5,1.5
DQN with Target Network,1718,105.5,16.5
DQN with Target Network,1719,111.5,26.5
DQN with Target Network,1720,126.0,41.0
DQN with Target Network,1721,109.5,44.5
DQN with Target Network,1722,120.0,60.0
DQN with Target Network,1723,116.5,56.5
DQN with Target Network,1724,107.0,56.0
DQN with Target Network,1725,107.0,55.0
DQN with Target Network,1726,105.0,68.0
DQN with Target Network,1727,54.0,28.0
DQN with Target Network,1728,143.5,28.5
DQN with Target Network,1729,134.5,6.5
DQN with Target Network,1730,166.5,33.5
DQN with Target Network,1731,189.5,10.5
DQN with Target Network,1732,170.0,30.0
DQN with Target Network,1733,159.5,31.5
DQN with Target Network,1734,179.0,21.0
DQN with Target Network,1735,174.0,26.0
DQN with Target Network,1736,170.5,29.5
DQN with Target Network,1737,196.5,3.5
DQN with Target Network,1738,173.5,26.5
DQN with Target Network,1739,130.5,23.5
DQN with Target Network,1740,160.0,40.0
DQN with Target Network,1741,151.0,38.0
DQN with Target Network,1742,138.0,62.0
DQN with Target Network,1743,141.5,58.5
DQN with Target Network,1744,135.5,64.5
DQN with Target Network,1745,132.0,68.0
DQN with Target Network,1746,127.0,73.0
DQN with Target Network,1747,124.5,75.5
DQN with Target Network,1748,128.5,71.5
DQN with Target Network,1749,162.5,37.5
DQN with Target Network,1750,199.5,0.5
DQN with Target Network,1751,169.0,31.0
DQN with Target Network,1752,147.0,53.0
DQN with Target Network,1753,200.0,0.0
DQN with Target Network,1754,200.0,0.0
DQN with Target Network,1755,200.0,0.0
DQN with Target Network,1756,200.0,0.0
DQN with Target Network,1757,109.0,91.0
DQN with Target Network,1758,200.0,0.0
DQN with Target Network,1759,185.5,14.5
DQN with Target Network,1760,200.0,0.0
DQN with Target Network,1761,200.0,0.0
DQN with Target Network,1762,200.0,0.0
DQN with Target Network,1763,163.5,36.5
DQN with Target Network,1764,144.5,55.5
DQN with Target Network,1765,139.0,61.0
DQN with Target Network,1766,200.0,0.0
DQN with Target Network,1767,200.0,0.0
DQN with Target Network,1768,200.0,0.0
DQN with Target Network,1769,200.0,0.0
DQN with Target Network,1770,126.5,73.5
DQN with Target Network,1771,200.0,0.0
DQN with Target Network,1772,200.0,0.0
DQN with Target Network,1773,200.0,0.0
DQN with Target Network,1774,200.0,0.0
DQN with Target Network,1775,200.0,0.0
DQN with Target Network,1776,200.0,0.0
DQN with Target Network,1777,200.0,0.0
DQN with Target Network,1778,200.0,0.0
DQN with Target Network,1779,200.0,0.0
DQN with Target Network,1780,200.0,0.0
DQN with Target Network,1781,200.0,0.0
DQN with Target Network,1782,200.0,0.0
DQN with Target Network,1783,200.0,0.0
DQN with Target Network,1784,200.0,0.0
DQN with Target Network,1785,200.0,0.0
DQN with Target Network,1786,200.0,0.0
DQN with Target Network,1787,200.0,0.0
DQN with Target Network,1788,200.0,0.0
DQN with Target Network,1789,200.0,0.0
DQN with Target Network,1790,200.0,0.0
DQN with Target Network,1791,200.0,0.0
DQN with Target Network,1792,192.0,0.0
DQN with Target Network,1793,200.0,0.0
DQN with Target Network,1794,200.0,0.0
DQN with Target Network,1795,23.0,0.0
