Total Steps,Episode Reward
29821.0,60.0
29906.0,85.0
29924.0,18.0
29965.0,41.0
30165.0,200.0
30365.0,200.0
30565.0,200.0
30765.0,200.0
30805.0,40.0
30946.0,141.0
31146.0,200.0
31300.0,154.0
31419.0,119.0
31576.0,157.0
31776.0,200.0
31935.0,159.0
32064.0,129.0
32125.0,61.0
32243.0,118.0
32301.0,58.0
32501.0,200.0
32655.0,154.0
32734.0,79.0
32752.0,18.0
32905.0,153.0
32932.0,27.0
32978.0,46.0
33178.0,200.0
33378.0,200.0
33578.0,200.0
33778.0,200.0
33885.0,107.0
34085.0,200.0
34126.0,41.0
34323.0,197.0
34498.0,175.0
34551.0,53.0
34568.0,17.0
34612.0,44.0
34633.0,21.0
34833.0,200.0
34990.0,157.0
35190.0,200.0
35287.0,97.0
35487.0,200.0
35606.0,119.0
35771.0,165.0
35876.0,105.0
35984.0,108.0
36013.0,29.0
36106.0,93.0
36306.0,200.0
36506.0,200.0
36687.0,181.0
36744.0,57.0
36812.0,68.0
36839.0,27.0
36933.0,94.0
36976.0,43.0
36986.0,10.0
37008.0,22.0
37175.0,167.0
37190.0,15.0
37356.0,166.0
37491.0,135.0
37521.0,30.0
37583.0,62.0
37608.0,25.0
37622.0,14.0
37694.0,72.0
37832.0,138.0
37910.0,78.0
38085.0,175.0
38239.0,154.0
38254.0,15.0
38285.0,31.0
38396.0,111.0
38553.0,157.0
38753.0,200.0
38911.0,158.0
39022.0,111.0
39059.0,37.0
39106.0,47.0
39146.0,40.0
39214.0,68.0
39295.0,81.0
39445.0,150.0
39560.0,115.0
39760.0,200.0
39784.0,24.0
39855.0,71.0
40055.0,200.0
40093.0,38.0
40107.0,14.0
40162.0,55.0
40362.0,200.0
40538.0,176.0
40575.0,37.0
40775.0,200.0
40848.0,73.0
40881.0,33.0
40921.0,40.0
41104.0,183.0
41140.0,36.0
41308.0,168.0
41505.0,197.0
41524.0,19.0
41724.0,200.0
41924.0,200.0
42124.0,200.0
42324.0,200.0
42364.0,40.0
42390.0,26.0
42488.0,98.0
42688.0,200.0
42748.0,60.0
42912.0,164.0
43112.0,200.0
43312.0,200.0
43496.0,184.0
43696.0,200.0
43713.0,17.0
43800.0,87.0
43833.0,33.0
44033.0,200.0
44080.0,47.0
44236.0,156.0
44325.0,89.0
44525.0,200.0
44677.0,152.0
44777.0,100.0
44789.0,12.0
44875.0,86.0
45058.0,183.0
45082.0,24.0
45181.0,99.0
45327.0,146.0
45352.0,25.0
45468.0,116.0
45620.0,152.0
45781.0,161.0
45949.0,168.0
46100.0,151.0
46117.0,17.0
46317.0,200.0
46517.0,200.0
46717.0,200.0
46851.0,134.0
46889.0,38.0
47089.0,200.0
47289.0,200.0
47369.0,80.0
47415.0,46.0
47480.0,65.0
47508.0,28.0
47681.0,173.0
47841.0,160.0
48011.0,170.0
48096.0,85.0
48119.0,23.0
48305.0,186.0
48460.0,155.0
48528.0,68.0
48594.0,66.0
48624.0,30.0
48665.0,41.0
48865.0,200.0
49010.0,145.0
49054.0,44.0
49150.0,96.0
49216.0,66.0
49315.0,99.0
49515.0,200.0
49715.0,200.0
49915.0,200.0
50023.0,108.0
50223.0,200.0
50305.0,82.0
