Network Size,Total Steps,Average Reward
Small (32-1),11067,16.0
Small (32-1),11083,16.0
Small (32-1),11100,17.0
Small (32-1),11110,10.0
Small (32-1),11120,10.0
Small (32-1),11138,18.0
Small (32-1),11147,9.0
Small (32-1),11208,61.0
Small (32-1),11223,15.0
Small (32-1),11234,11.0
Small (32-1),11250,16.0
Small (32-1),11270,20.0
Small (32-1),11287,17.0
Small (32-1),11303,16.0
Small (32-1),11317,14.0
Small (32-1),11350,33.0
Small (32-1),11400,50.0
Small (32-1),11419,19.0
Small (32-1),11455,36.0
Small (32-1),11485,30.0
Small (32-1),11496,11.0
Small (32-1),11509,13.0
Small (32-1),11520,11.0
Small (32-1),11535,15.0
Small (32-1),11550,15.0
Small (32-1),11558,8.0
Small (32-1),11567,9.0
Small (32-1),11576,9.0
Small (32-1),11586,10.0
Small (32-1),11603,17.0
Small (32-1),11614,11.0
Small (32-1),11628,14.0
Small (32-1),11653,25.0
Small (32-1),11664,11.0
Small (32-1),11675,11.0
Small (32-1),11685,10.0
Small (32-1),11702,17.0
Small (32-1),11715,13.0
Small (32-1),11734,19.0
Small (32-1),11744,10.0
Small (32-1),11756,12.0
Small (32-1),11779,23.0
Small (32-1),11799,20.0
Small (32-1),11811,12.0
Small (32-1),11829,18.0
Small (32-1),11839,10.0
Small (32-1),11855,16.0
Small (32-1),11867,12.0
Small (32-1),11888,21.0
Small (32-1),11901,13.0
Small (32-1),11927,26.0
Small (32-1),11938,11.0
Small (32-1),11954,16.0
Small (32-1),11972,18.0
Small (32-1),11999,27.0
Small (32-1),12017,18.0
Small (32-1),12031,14.0
Small (32-1),12045,14.0
Small (32-1),12053,8.0
Small (32-1),12069,16.0
Small (32-1),12085,16.0
Small (32-1),12096,11.0
Small (32-1),12109,13.0
Small (32-1),12131,22.0
Small (32-1),12140,9.0
Small (32-1),12149,9.0
Small (32-1),12159,10.0
Small (32-1),12169,10.0
Small (32-1),12177,8.0
Small (32-1),12194,17.0
Small (32-1),12206,12.0
Small (32-1),12220,14.0
Small (32-1),12231,11.0
Small (32-1),12244,13.0
Small (32-1),12257,13.0
Small (32-1),12270,13.0
Small (32-1),12281,11.0
Small (32-1),12302,21.0
Small (32-1),12315,13.0
Small (32-1),12328,13.0
Small (32-1),12344,16.0
Small (32-1),12356,12.0
Small (32-1),12366,10.0
Small (32-1),12380,14.0
Small (32-1),12397,17.0
Small (32-1),12411,14.0
Small (32-1),12427,16.0
Small (32-1),12441,14.0
Small (32-1),12454,13.0
Small (32-1),12463,9.0
Small (32-1),12477,14.0
Small (32-1),12490,13.0
Small (32-1),12505,15.0
Small (32-1),12526,21.0
Small (32-1),12568,42.0
Small (32-1),12585,17.0
Small (32-1),12611,26.0
Small (32-1),12670,59.0
Small (32-1),12692,22.0
Small (32-1),12703,11.0
Small (32-1),12719,16.0
Small (32-1),12736,17.0
Small (32-1),12746,10.0
Small (32-1),12760,14.0
Small (32-1),12772,12.0
Small (32-1),12781,9.0
