Episode,Total Reward
1005.0,179.0
1006.0,191.0
1007.0,200.0
1008.0,200.0
1009.0,200.0
1010.0,200.0
1011.0,123.0
1012.0,61.0
1013.0,200.0
1014.0,200.0
1015.0,200.0
1016.0,200.0
1017.0,200.0
1018.0,200.0
1019.0,200.0
1020.0,200.0
1021.0,194.0
1022.0,49.0
1023.0,84.0
1024.0,132.0
1025.0,200.0
1026.0,200.0
1027.0,200.0
1028.0,200.0
1029.0,49.0
1030.0,200.0
1031.0,22.0
1032.0,200.0
1033.0,200.0
1034.0,200.0
1035.0,125.0
1036.0,200.0
1037.0,109.0
1038.0,200.0
1039.0,200.0
1040.0,139.0
1041.0,200.0
1042.0,200.0
1043.0,200.0
1044.0,200.0
1045.0,200.0
1046.0,41.0
1047.0,197.0
1048.0,80.0
1049.0,200.0
1050.0,200.0
1051.0,200.0
1052.0,200.0
1053.0,200.0
1054.0,200.0
1055.0,200.0
1056.0,200.0
1057.0,200.0
1058.0,200.0
1059.0,200.0
1060.0,200.0
1061.0,24.0
1062.0,200.0
1063.0,200.0
1064.0,200.0
1065.0,100.0
1066.0,200.0
1067.0,200.0
1068.0,200.0
1069.0,200.0
1070.0,200.0
1071.0,200.0
1072.0,200.0
1073.0,200.0
1074.0,16.0
1075.0,200.0
1076.0,200.0
1077.0,200.0
1078.0,200.0
1079.0,200.0
1080.0,21.0
1081.0,200.0
1082.0,200.0
1083.0,200.0
1084.0,200.0
1085.0,183.0
